Time,Event
8.065091667,HIT
11.66559167,BREAKTHROUGH
13.46584167,WAIT
16.46584167,RETRACT
21.86659167,LEAVE
23.20817496,HIT
24.40967496,BREAKTHROUGH
25.01042496,WAIT
28.01042496,RETRACT
29.81267496,LEAVE
31.30203603,HIT
34.90253603,BREAKTHROUGH
36.70278603,WAIT
39.70278603,RETRACT
45.10353603,LEAVE
46.44511933,HIT
47.64661933,BREAKTHROUGH
48.24736933,WAIT
51.24736933,RETRACT
53.04961933,LEAVE
54.5389804,HIT
58.1394804,BREAKTHROUGH
59.9397304,WAIT
62.9397304,RETRACT
68.3404804,LEAVE
69.68206369,HIT
70.88356369,BREAKTHROUGH
71.48431369,WAIT
74.48431369,RETRACT
76.28656369,LEAVE
