Time,Event
18.34525343,HIT
30.34574363,BREAKTHROUGH
32.74584167,WAIT
35.74584167,RETRACT
50.1464299,LEAVE
58.68866025,HIT
62.69013084,BREAKTHROUGH
63.49042496,WAIT
66.49042496,RETRACT
71.29218967,LEAVE
79.9821978,HIT
91.98268799,BREAKTHROUGH
94.38278603,WAIT
97.38278603,RETRACT
111.7833743,LEAVE
120.3256046,HIT
124.3270752,BREAKTHROUGH
125.1273693,WAIT
128.1273693,RETRACT
132.929134,LEAVE
141.6191422,HIT
153.6196324,BREAKTHROUGH
156.0197304,WAIT
159.0197304,RETRACT
173.4203186,LEAVE
181.962549,HIT
185.9640196,BREAKTHROUGH
186.7643137,WAIT
189.7643137,RETRACT
194.5660784,LEAVE
