Time,Event
10.80534924,HIT
16.80572803,BREAKTHROUGH
18.60584167,WAIT
21.60584167,RETRACT
29.40633409,LEAVE
37.14894769,HIT
39.15008405,BREAKTHROUGH
39.75042496,WAIT
42.75042496,RETRACT
45.35190223,LEAVE
53.24229361,HIT
59.2426724,BREAKTHROUGH
61.04278603,WAIT
64.04278603,RETRACT
71.84327846,LEAVE
79.58589205,HIT
81.58702842,BREAKTHROUGH
82.18736933,WAIT
85.18736933,RETRACT
87.7888466,LEAVE
95.67923797,HIT
101.6796168,BREAKTHROUGH
103.4797304,WAIT
106.4797304,RETRACT
114.2802228,LEAVE
122.0228364,HIT
124.0239728,BREAKTHROUGH
124.6243137,WAIT
127.6243137,RETRACT
130.225791,LEAVE
